time,filename,raw_filename,label,pc_p,pc_f,pc_c
2026-07-03T22:52:14,web_20260703_225214_258470_2.bmp,web_20260703_225214_258470_2_raw.png,2,2:45,2:42,2:44
2026-07-03T22:52:18,web_20260703_225218_612326_2.bmp,web_20260703_225218_612326_2_raw.png,2,2:44,2:38,2:45
2026-07-03T22:52:23,web_20260703_225223_117701_2.bmp,web_20260703_225223_117701_2_raw.png,2,2:43,2:39,2:47
2026-07-03T22:52:27,web_20260703_225227_081145_2.bmp,web_20260703_225227_081145_2_raw.png,2,2:43,2:36,2:44
2026-07-03T22:52:32,web_20260703_225232_463900_2.bmp,web_20260703_225232_463900_2_raw.png,2,2:41,2:43,2:47
2026-07-03T22:52:37,web_20260703_225237_232759_2.bmp,web_20260703_225237_232759_2_raw.png,2,2:43,2:39,2:47
2026-07-03T22:52:44,web_20260703_225244_899512_4.bmp,web_20260703_225244_899512_4_raw.png,4,4:34,4:5,4:44
2026-07-03T22:52:50,web_20260703_225250_703095_4.bmp,web_20260703_225250_703095_4_raw.png,4,4:36,4:13,4:43
2026-07-03T22:52:56,web_20260703_225256_777576_4.bmp,web_20260703_225256_777576_4_raw.png,4,4:13,6:14,4:20
2026-07-03T22:53:02,web_20260703_225302_165294_4.bmp,web_20260703_225302_165294_4_raw.png,4,4:4,4:7,4:32
2026-07-03T22:53:08,web_20260703_225308_311234_4.bmp,web_20260703_225308_311234_4_raw.png,4,4:23,6:11,4:36
2026-07-03T22:53:16,web_20260703_225316_513195_9.bmp,web_20260703_225316_513195_9_raw.png,9,9:32,9:28,9:44
2026-07-03T22:53:21,web_20260703_225321_626700_9.bmp,web_20260703_225321_626700_9_raw.png,9,9:31,9:30,9:42
2026-07-03T22:53:25,web_20260703_225325_941251_9.bmp,web_20260703_225325_941251_9_raw.png,9,9:35,9:34,9:37
2026-07-03T22:53:31,web_20260703_225331_004212_9.bmp,web_20260703_225331_004212_9_raw.png,9,9:39,9:34,9:40
2026-07-03T22:54:19,web_20260703_225419_724747_8.bmp,web_20260703_225419_724747_8_raw.png,8,8:36,8:30,8:44
2026-07-03T22:54:43,web_20260703_225443_074484_8.bmp,web_20260703_225443_074484_8_raw.png,8,3:29,3:28,8:18
2026-07-03T22:54:48,web_20260703_225448_238551_8.bmp,web_20260703_225448_238551_8_raw.png,8,8:2,3:1,8:40
2026-07-03T22:54:55,web_20260703_225455_066218_8.bmp,web_20260703_225455_066218_8_raw.png,8,8:13,8:34,8:37
2026-07-03T22:55:00,web_20260703_225500_901404_8.bmp,web_20260703_225500_901404_8_raw.png,8,3:12,3:6,8:34
2026-07-03T22:55:06,web_20260703_225506_527004_8.bmp,web_20260703_225506_527004_8_raw.png,8,8:6,3:13,8:43
2026-07-03T22:55:15,web_20260703_225515_070208_3.bmp,web_20260703_225515_070208_3_raw.png,3,3:44,3:50,3:36
2026-07-03T22:55:21,web_20260703_225521_840364_5.bmp,web_20260703_225521_840364_5_raw.png,5,5:32,5:10,5:28
2026-07-03T22:55:27,web_20260703_225527_631983_5.bmp,web_20260703_225527_631983_5_raw.png,5,5:24,5:40,5:30
2026-07-03T22:55:33,web_20260703_225533_426798_5.bmp,web_20260703_225533_426798_5_raw.png,5,5:24,5:37,5:39
2026-07-03T22:55:39,web_20260703_225539_531711_5.bmp,web_20260703_225539_531711_5_raw.png,5,5:15,5:17,5:30
2026-07-03T22:56:06,web_20260703_225606_373566_3.bmp,web_20260703_225606_373566_3_raw.png,3,3:44,3:35,3:34
2026-07-03T22:56:11,web_20260703_225611_733312_3.bmp,web_20260703_225611_733312_3_raw.png,3,3:45,3:42,3:45
2026-07-03T22:56:15,web_20260703_225615_851159_3.bmp,web_20260703_225615_851159_3_raw.png,3,3:47,3:45,3:41
2026-07-03T22:56:24,web_20260703_225624_130690_6.bmp,web_20260703_225624_130690_6_raw.png,6,6:22,5:5,6:31
2026-07-03T22:56:28,web_20260703_225628_466088_6.bmp,web_20260703_225628_466088_6_raw.png,6,6:44,6:25,6:45
2026-07-03T22:56:40,web_20260703_225640_296267_6.bmp,web_20260703_225640_296267_6_raw.png,6,6:40,6:20,6:33
2026-07-03T22:56:48,web_20260703_225648_298193_6.bmp,web_20260703_225648_298193_6_raw.png,6,6:42,6:31,6:45
2026-07-03T22:56:52,web_20260703_225652_586899_6.bmp,web_20260703_225652_586899_6_raw.png,6,6:45,6:42,6:47
2026-07-03T22:56:59,web_20260703_225659_400109_6.bmp,web_20260703_225659_400109_6_raw.png,6,6:43,6:0,6:46
2026-07-03T22:57:04,web_20260703_225704_551693_7.bmp,web_20260703_225704_551693_7_raw.png,7,7:43,7:42,7:43
2026-07-03T22:57:08,web_20260703_225708_716612_7.bmp,web_20260703_225708_716612_7_raw.png,7,7:46,7:42,7:41
2026-07-03T22:57:13,web_20260703_225713_079048_7.bmp,web_20260703_225713_079048_7_raw.png,7,7:47,7:45,7:44
2026-07-03T22:57:20,web_20260703_225720_083455_7.bmp,web_20260703_225720_083455_7_raw.png,7,7:45,7:43,7:41
2026-07-03T22:57:24,web_20260703_225724_347365_7.bmp,web_20260703_225724_347365_7_raw.png,7,7:46,7:40,7:40
2026-07-04T01:43:39,web_20260704_014339_412254_0.bmp,web_20260704_014339_412254_0_raw.png,0,0:41,0:53,0:52
2026-07-04T01:43:49,web_20260704_014349_080855_0.bmp,web_20260704_014349_080855_0_raw.png,0,0:44,0:47,0:46
2026-07-04T01:43:55,web_20260704_014355_233866_0.bmp,web_20260704_014355_233866_0_raw.png,0,0:43,0:53,0:53
2026-07-04T01:44:00,web_20260704_014400_685930_0.bmp,web_20260704_014400_685930_0_raw.png,0,0:42,0:50,0:50
2026-07-04T01:44:10,web_20260704_014410_677115_0.bmp,web_20260704_014410_677115_0_raw.png,0,0:42,0:51,0:51
2026-07-04T01:44:21,web_20260704_014421_145239_0.bmp,web_20260704_014421_145239_0_raw.png,0,0:43,0:48,0:51
2026-07-04T01:44:31,web_20260704_014431_173261_0.bmp,web_20260704_014431_173261_0_raw.png,0,0:40,0:50,0:51
2026-07-04T01:44:46,web_20260704_014446_151582_1.bmp,web_20260704_014446_151582_1_raw.png,1,1:44,1:54,1:50
2026-07-04T01:44:50,web_20260704_014450_818057_1.bmp,web_20260704_014450_818057_1_raw.png,1,1:46,1:54,1:45
2026-07-04T01:44:56,web_20260704_014456_594409_1.bmp,web_20260704_014456_594409_1_raw.png,1,1:43,1:53,1:47
2026-07-04T01:45:01,web_20260704_014501_519066_1.bmp,web_20260704_014501_519066_1_raw.png,1,1:46,1:55,1:45
2026-07-04T01:45:05,web_20260704_014505_735998_1.bmp,web_20260704_014505_735998_1_raw.png,1,1:47,1:55,1:52
2026-07-04T01:45:31,web_20260704_014531_740914_2.bmp,web_20260704_014531_740914_2_raw.png,2,2:42,2:45,2:41
2026-07-04T01:45:40,web_20260704_014540_739522_2.bmp,web_20260704_014540_739522_2_raw.png,2,2:46,2:48,2:46
2026-07-04T01:45:49,web_20260704_014549_119093_2.bmp,web_20260704_014549_119093_2_raw.png,2,2:43,2:44,2:41
2026-07-04T01:45:54,web_20260704_014554_369948_2.bmp,web_20260704_014554_369948_2_raw.png,2,2:46,2:48,2:34
2026-07-04T01:45:59,web_20260704_014559_452224_2.bmp,web_20260704_014559_452224_2_raw.png,2,2:45,2:44,2:44
2026-07-04T01:46:05,web_20260704_014605_722559_2.bmp,web_20260704_014605_722559_2_raw.png,2,2:46,2:44,2:44
2026-07-04T01:46:09,web_20260704_014609_872488_2.bmp,web_20260704_014609_872488_2_raw.png,2,2:45,2:41,2:40
2026-07-04T01:46:13,web_20260704_014613_809559_2.bmp,web_20260704_014613_809559_2_raw.png,2,2:44,2:46,2:35
2026-07-04T01:46:29,web_20260704_014629_033324_3.bmp,web_20260704_014629_033324_3_raw.png,3,3:49,3:41,3:27
2026-07-04T01:46:34,web_20260704_014634_065674_3.bmp,web_20260704_014634_065674_3_raw.png,3,3:45,3:45,3:43
2026-07-04T01:46:38,web_20260704_014638_644023_3.bmp,web_20260704_014638_644023_3_raw.png,3,3:48,3:45,3:42
2026-07-04T01:46:43,web_20260704_014643_833648_3.bmp,web_20260704_014643_833648_3_raw.png,3,3:44,3:43,3:38
2026-07-04T01:47:09,web_20260704_014709_160364_3.bmp,web_20260704_014709_160364_3_raw.png,3,3:45,3:45,3:40
2026-07-04T01:47:18,web_20260704_014718_829229_3.bmp,web_20260704_014718_829229_3_raw.png,3,3:44,3:46,3:42
2026-07-04T01:47:23,web_20260704_014723_662001_3.bmp,web_20260704_014723_662001_3_raw.png,3,3:42,3:43,3:34
2026-07-04T01:47:40,web_20260704_014740_915369_4.bmp,web_20260704_014740_915369_4_raw.png,4,4:36,4:32,4:47
2026-07-04T01:47:46,web_20260704_014746_188696_4.bmp,web_20260704_014746_188696_4_raw.png,4,4:36,4:31,4:46
2026-07-04T01:47:53,web_20260704_014753_541642_4.bmp,web_20260704_014753_541642_4_raw.png,4,4:14,4:27,4:53
2026-07-04T01:47:58,web_20260704_014758_617436_4.bmp,web_20260704_014758_617436_4_raw.png,4,4:42,4:41,4:44
2026-07-04T01:48:10,web_20260704_014810_327583_4.bmp,web_20260704_014810_327583_4_raw.png,4,4:14,4:41,4:47
2026-07-04T01:48:15,web_20260704_014815_677635_4.bmp,web_20260704_014815_677635_4_raw.png,4,4:29,4:12,4:37
2026-07-04T01:48:24,web_20260704_014824_384792_5.bmp,web_20260704_014824_384792_5_raw.png,5,5:10,5:30,5:38
2026-07-04T01:48:30,web_20260704_014830_049786_5.bmp,web_20260704_014830_049786_5_raw.png,5,5:16,5:35,5:37
2026-07-04T01:48:35,web_20260704_014835_864616_5.bmp,web_20260704_014835_864616_5_raw.png,5,5:3,5:34,5:30
2026-07-04T01:48:41,web_20260704_014841_849451_5.bmp,web_20260704_014841_849451_5_raw.png,5,5:13,5:35,5:33
2026-07-04T01:48:49,web_20260704_014849_822769_5.bmp,web_20260704_014849_822769_5_raw.png,5,5:11,5:37,5:34
2026-07-04T01:48:55,web_20260704_014855_223977_5.bmp,web_20260704_014855_223977_5_raw.png,5,5:24,5:35,5:32
2026-07-04T01:50:10,web_20260704_015010_771359_5.bmp,web_20260704_015010_771359_5_raw.png,5,5:24,5:35,5:32
2026-07-04T01:50:19,web_20260704_015019_407807_5.bmp,web_20260704_015019_407807_5_raw.png,5,5:21,5:38,5:40
2026-07-04T01:50:33,web_20260704_015033_307858_6.bmp,web_20260704_015033_307858_6_raw.png,6,6:34,6:26,6:38
2026-07-04T01:50:39,web_20260704_015038_915163_6.bmp,web_20260704_015038_915163_6_raw.png,6,6:42,6:39,6:45
2026-07-04T01:50:46,web_20260704_015046_689553_6.bmp,web_20260704_015046_689553_6_raw.png,6,6:43,6:30,6:44
2026-07-04T01:50:51,web_20260704_015051_499040_6.bmp,web_20260704_015051_499040_6_raw.png,6,6:24,6:25,0:2
2026-07-04T01:50:55,web_20260704_015055_399348_6.bmp,web_20260704_015055_399348_6_raw.png,6,6:42,6:27,6:46
2026-07-04T01:50:59,web_20260704_015059_906755_6.bmp,web_20260704_015059_906755_6_raw.png,6,6:45,6:36,6:42
2026-07-04T01:51:10,web_20260704_015109_900428_7.bmp,web_20260704_015109_900428_7_raw.png,7,7:45,7:43,7:44
2026-07-04T01:51:14,web_20260704_015114_404121_7.bmp,web_20260704_015114_404121_7_raw.png,7,7:47,7:47,7:41
2026-07-04T01:51:22,web_20260704_015122_548016_7.bmp,web_20260704_015122_548016_7_raw.png,7,7:46,7:48,7:38
2026-07-04T01:51:26,web_20260704_015126_718957_7.bmp,web_20260704_015126_718957_7_raw.png,7,7:49,7:45,7:46
2026-07-04T01:51:30,web_20260704_015130_606220_7.bmp,web_20260704_015130_606220_7_raw.png,7,7:47,7:47,7:44
2026-07-04T01:51:35,web_20260704_015135_726431_7.bmp,web_20260704_015135_726431_7_raw.png,7,7:47,7:46,7:42
2026-07-04T01:51:50,web_20260704_015150_748655_8.bmp,web_20260704_015150_748655_8_raw.png,8,5:15,8:35,8:38
2026-07-04T01:52:00,web_20260704_015200_281683_8.bmp,web_20260704_015200_281683_8_raw.png,8,8:17,8:40,8:40
2026-07-04T01:52:06,web_20260704_015206_715380_8.bmp,web_20260704_015206_715380_8_raw.png,8,8:36,8:41,8:44
2026-07-04T01:52:11,web_20260704_015211_173426_8.bmp,web_20260704_015211_173426_8_raw.png,8,3:17,8:34,8:1
2026-07-04T01:52:17,web_20260704_015217_054555_8.bmp,web_20260704_015217_054555_8_raw.png,8,3:25,8:29,8:28
2026-07-04T01:52:21,web_20260704_015221_850707_8.bmp,web_20260704_015221_850707_8_raw.png,8,8:13,8:44,8:50
2026-07-04T01:52:31,web_20260704_015231_062093_8.bmp,web_20260704_015231_062093_8_raw.png,8,8:9,8:37,8:35
2026-07-04T01:52:36,web_20260704_015235_994650_8.bmp,web_20260704_015235_994650_8_raw.png,8,8:33,8:39,8:49
2026-07-04T01:52:44,web_20260704_015244_132708_8.bmp,web_20260704_015244_132708_8_raw.png,8,8:43,8:51,8:46
2026-07-04T01:52:50,web_20260704_015250_157416_8.bmp,web_20260704_015250_157416_8_raw.png,8,8:11,8:40,8:32
2026-07-04T01:52:57,web_20260704_015257_303412_9.bmp,web_20260704_015257_303412_9_raw.png,9,9:36,9:42,9:34
2026-07-04T01:53:01,web_20260704_015301_090035_9.bmp,web_20260704_015301_090035_9_raw.png,9,9:35,9:41,9:35
2026-07-04T01:53:04,web_20260704_015304_609042_9.bmp,web_20260704_015304_609042_9_raw.png,9,9:36,9:53,9:43
2026-07-04T01:53:08,web_20260704_015308_448388_9.bmp,web_20260704_015308_448388_9_raw.png,9,9:39,9:48,9:44
2026-07-04T01:53:12,web_20260704_015312_203937_9.bmp,web_20260704_015312_203937_9_raw.png,9,9:44,9:42,9:41
2026-07-04T01:53:16,web_20260704_015316_016726_9.bmp,web_20260704_015316_016726_9_raw.png,9,9:25,9:46,9:36
2026-07-04T01:53:20,web_20260704_015320_159429_9.bmp,web_20260704_015320_159429_9_raw.png,9,9:38,9:39,9:41
2026-07-04T01:53:24,web_20260704_015324_709086_9.bmp,web_20260704_015324_709086_9_raw.png,9,9:41,9:44,9:39
2026-07-06T07:47:51,web_20260706_074751_246841_0.bmp,web_20260706_074751_246841_0_raw.png,0,0:41,0:47,0:53
2026-07-06T08:11:47,web_20260706_081147_722161_3.bmp,web_20260706_081147_722161_3_raw.png,3,3:34,3:48,3:35
