set,filename,label
mnist,img_0086_7.bmp,7
mnist,img_0087_3.bmp,3
mnist,img_0088_6.bmp,6
mnist,img_0089_1.bmp,1
mnist,img_0090_3.bmp,3
mnist,img_0091_6.bmp,6
mnist,img_0092_9.bmp,9
mnist,img_0093_3.bmp,3
mnist,img_0094_1.bmp,1
mnist,img_0095_4.bmp,4
mnist,img_0096_1.bmp,1
mnist,img_0097_7.bmp,7
mnist,img_0098_6.bmp,6
mnist,img_0099_9.bmp,9
personal,number_00_7.bmp,7
personal,number_01_1.bmp,1
personal,number_02_3.bmp,3
personal,number_03_2.bmp,2
personal,number_04_5.bmp,5
personal,number_05_6.bmp,6
personal,number_06_4.bmp,4
personal,number_07_9.bmp,9
personal,number_08_0.bmp,0
personal,number_09_8.bmp,8
